game_id,team_id,a_team_id,spread1,spread2
21000358,1610612749,1610612742,7.5,-7.5
21000361,1610612755,1610612751,-1.5,1.5
21000362,1610612747,1610612764,-10.5,10.5
21000367,1610612747,1610612754,-3.5,3.5
21000372,1610612766,1610612763,8.5,-8.5
21000376,1610612750,1610612756,10.0,-10.0
21000378,1610612764,1610612751,6.0,-6.0
21000384,1610612751,1610612761,5.5,-5.5
21000382,1610612748,1610612752,-5.0,5.0
21000385,1610612766,1610612737,7.0,-7.0
21000419,1610612744,1610612758,3.0,-3.0
21000421,1610612739,1610612737,9.5,-9.5
21000422,1610612765,1610612761,5.0,-5.0
21000425,1610612760,1610612752,1.0,-1.0
21000424,1610612755,1610612738,8.5,-8.5
21000430,1610612759,1610612753,2.0,-2.0
21000434,1610612738,1610612753,3.0,-3.0
21000441,1610612763,1610612754,4.5,-4.5
21000445,1610612765,1610612766,5.0,-5.0
21000448,1610612737,1610612749,2.0,-2.0
21000452,1610612757,1610612762,8.0,-8.0
21000454,1610612755,1610612744,3.5,-3.5
21000459,1610612761,1610612742,10.0,-10.0
21000461,1610612757,1610612743,7.5,-7.5
21000464,1610612754,1610612764,2.5,-2.5
21000466,1610612743,1610612750,3.0,-3.0
21000467,1610612747,1610612740,-3.0,3.0
21000472,1610612762,1610612746,-1.5,1.5
21000492,1610612754,1610612752,7.0,-7.0
21000494,1610612738,1610612761,-6.0,6.0
21000498,1610612763,1610612747,9.5,-9.5
21000503,1610612745,1610612743,7.0,-7.0
21000508,1610612760,1610612763,-1.0,1.0
21000516,1610612759,1610612738,2.5,-2.5
21000520,1610612737,1610612762,5.5,-5.5
21000526,1610612741,1610612755,-1.0,1.0
21000544,1610612758,1610612761,6.5,-6.5
21000550,1610612752,1610612747,6.5,-6.5
21000565,1610612763,1610612765,-3.0,3.0
21000568,1610612760,1610612745,-3.0,3.0
21000581,1610612742,1610612759,9.5,-9.5
21000588,1610612740,1610612766,3.5,-3.5
21000587,1610612745,1610612737,8.5,-8.5
21000591,1610612748,1610612741,2.5,-2.5
21000600,1610612741,1610612763,5.0,-5.0
21000616,1610612765,1610612738,12.0,-12.0
21000617,1610612764,1610612749,6.0,-6.0
21000624,1610612754,1610612744,5.0,-5.0
21000628,1610612746,1610612757,3.0,-3.0
21000635,1610612745,1610612763,3.5,-3.5
21000639,1610612737,1610612766,3.0,-3.0
21000643,1610612761,1610612748,9.5,-9.5
21000645,1610612739,1610612741,15.5,-15.5
21000649,1610612763,1610612749,2.0,-2.0
21000655,1610612756,1610612755,4.5,-4.5
21000663,1610612743,1610612764,-4.5,4.5
21000668,1610612753,1610612754,-5.5,5.5
21000675,1610612766,1610612756,7.0,-7.0
21000678,1610612748,1610612752,-3.0,3.0
21000681,1610612751,1610612754,6.0,-6.0
21000690,1610612738,1610612756,-4.5,4.5
21000693,1610612754,1610612741,7.0,-7.0
21000697,1610612751,1610612749,6.5,-6.5
21000701,1610612748,1610612760,1.0,-1.0
21000704,1610612743,1610612755,1.5,-1.5
21000712,1610612764,1610612742,9.0,-9.0
21200881,1610612760,1610612746,3.0,-3.0
21200882,1610612755,1610612764,5.5,-5.5
21200883,1610612763,1610612753,-9.0,9.0
21000715,1610612764,1610612740,9.0,-9.0
21000716,1610612759,1610612757,-5.0,5.0
21000722,1610612766,1610612765,2.0,-2.0
21000725,1610612740,1610612760,7.0,-7.0
21000726,1610612757,1610612743,8.5,-8.5
